
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.littleCluster.cpus.mmu.itb.accesses            0                       # Total TLB (inst and data) accesses (Count)
system.littleCluster.cpus.mmu.itb_walker.walks            0                       # Table walker walks requested (Count)
system.littleCluster.cpus.mmu.itb_walker.requestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.itb_walker.requestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.itb_walker.requestOrigin_Requested::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.itb_walker.requestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.itb_walker.requestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.itb_walker.requestOrigin_Completed::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.itb_walker.requestOrigin::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.itb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.littleCluster.cpus.mmu.l2_shared.instHits            0                       # Inst hits (Count)
system.littleCluster.cpus.mmu.l2_shared.instMisses            0                       # Inst misses (Count)
system.littleCluster.cpus.mmu.l2_shared.inserts            0                       # Number of times an entry is inserted into the TLB (Count)
system.littleCluster.cpus.mmu.l2_shared.flushTlb            0                       # Number of times complete TLB was flushed (Count)
system.littleCluster.cpus.mmu.l2_shared.flushTlbMva          214                       # Number of times TLB was flushed by MVA (Count)
system.littleCluster.cpus.mmu.l2_shared.flushTlbMvaAsid            0                       # Number of times TLB was flushed by MVA & ASID (Count)
system.littleCluster.cpus.mmu.l2_shared.flushTlbAsid            0                       # Number of times TLB was flushed by ASID (Count)
system.littleCluster.cpus.mmu.l2_shared.flushedEntries            0                       # Number of entries that have been flushed from TLB (Count)
system.littleCluster.cpus.mmu.l2_shared.instAccesses            0                       # Inst accesses (Count)
system.littleCluster.cpus.mmu.l2_shared.hits            0                       # Total TLB (inst and data) hits (Count)
system.littleCluster.cpus.mmu.l2_shared.misses            0                       # Total TLB (inst and data) misses (Count)
system.littleCluster.cpus.mmu.l2_shared.accesses            0                       # Total TLB (inst and data) accesses (Count)
system.littleCluster.cpus.mmu.stage2_dtb.readHits            0                       # Read hits (Count)
system.littleCluster.cpus.mmu.stage2_dtb.readMisses            0                       # Read misses (Count)
system.littleCluster.cpus.mmu.stage2_dtb.writeHits            0                       # Write hits (Count)
system.littleCluster.cpus.mmu.stage2_dtb.writeMisses            0                       # Write misses (Count)
system.littleCluster.cpus.mmu.stage2_dtb.inserts            0                       # Number of times an entry is inserted into the TLB (Count)
system.littleCluster.cpus.mmu.stage2_dtb.flushTlb            0                       # Number of times complete TLB was flushed (Count)
system.littleCluster.cpus.mmu.stage2_dtb.flushTlbMva            0                       # Number of times TLB was flushed by MVA (Count)
system.littleCluster.cpus.mmu.stage2_dtb.flushTlbMvaAsid            0                       # Number of times TLB was flushed by MVA & ASID (Count)
system.littleCluster.cpus.mmu.stage2_dtb.flushTlbAsid            0                       # Number of times TLB was flushed by ASID (Count)
system.littleCluster.cpus.mmu.stage2_dtb.flushedEntries            0                       # Number of entries that have been flushed from TLB (Count)
system.littleCluster.cpus.mmu.stage2_dtb.readAccesses            0                       # Read accesses (Count)
system.littleCluster.cpus.mmu.stage2_dtb.writeAccesses            0                       # Write accesses (Count)
system.littleCluster.cpus.mmu.stage2_dtb.hits            0                       # Total TLB (inst and data) hits (Count)
system.littleCluster.cpus.mmu.stage2_dtb.misses            0                       # Total TLB (inst and data) misses (Count)
system.littleCluster.cpus.mmu.stage2_dtb.accesses            0                       # Total TLB (inst and data) accesses (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.walks            0                       # Table walker walks requested (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.requestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.requestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.requestOrigin_Requested::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.requestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.requestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.requestOrigin_Completed::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.requestOrigin::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_dtb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.littleCluster.cpus.mmu.stage2_itb.instHits            0                       # Inst hits (Count)
system.littleCluster.cpus.mmu.stage2_itb.instMisses            0                       # Inst misses (Count)
system.littleCluster.cpus.mmu.stage2_itb.inserts            0                       # Number of times an entry is inserted into the TLB (Count)
system.littleCluster.cpus.mmu.stage2_itb.flushTlb            0                       # Number of times complete TLB was flushed (Count)
system.littleCluster.cpus.mmu.stage2_itb.flushTlbMva            0                       # Number of times TLB was flushed by MVA (Count)
system.littleCluster.cpus.mmu.stage2_itb.flushTlbMvaAsid            0                       # Number of times TLB was flushed by MVA & ASID (Count)
system.littleCluster.cpus.mmu.stage2_itb.flushTlbAsid            0                       # Number of times TLB was flushed by ASID (Count)
system.littleCluster.cpus.mmu.stage2_itb.flushedEntries            0                       # Number of entries that have been flushed from TLB (Count)
system.littleCluster.cpus.mmu.stage2_itb.instAccesses            0                       # Inst accesses (Count)
system.littleCluster.cpus.mmu.stage2_itb.hits            0                       # Total TLB (inst and data) hits (Count)
system.littleCluster.cpus.mmu.stage2_itb.misses            0                       # Total TLB (inst and data) misses (Count)
system.littleCluster.cpus.mmu.stage2_itb.accesses            0                       # Total TLB (inst and data) accesses (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.walks            0                       # Table walker walks requested (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.requestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.requestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.requestOrigin_Requested::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.requestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.requestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.requestOrigin_Completed::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.requestOrigin::total            0                       # Table walker requests started/completed, data/inst (Count)
system.littleCluster.cpus.mmu.stage2_itb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.littleCluster.cpus.power_state.numTransitions            3                       # Number of power state transitions (Count)
system.littleCluster.cpus.power_state.ticksClkGated::samples            2                       # Distribution of time spent in the clock gated state (Tick)
system.littleCluster.cpus.power_state.ticksClkGated::mean 6333886750.500000                       # Distribution of time spent in the clock gated state (Tick)
system.littleCluster.cpus.power_state.ticksClkGated::stdev 8957467129.464577                       # Distribution of time spent in the clock gated state (Tick)
system.littleCluster.cpus.power_state.ticksClkGated::1000-5e+10            2    100.00%    100.00% # Distribution of time spent in the clock gated state (Tick)
system.littleCluster.cpus.power_state.ticksClkGated::min_value         1001                       # Distribution of time spent in the clock gated state (Tick)
system.littleCluster.cpus.power_state.ticksClkGated::max_value  12667772500                       # Distribution of time spent in the clock gated state (Tick)
system.littleCluster.cpus.power_state.ticksClkGated::total            2                       # Distribution of time spent in the clock gated state (Tick)
system.littleCluster.cpus.power_state.pwrStateResidencyTicks::ON       616999                       # Cumulative time (in ticks) in various power states (Tick)
system.littleCluster.cpus.power_state.pwrStateResidencyTicks::CLK_GATED  12667773501                       # Cumulative time (in ticks) in various power states (Tick)
system.littleCluster.cpus.thread_0.numInsts           19                       # Number of Instructions committed (Count)
system.littleCluster.cpus.thread_0.numOps           19                       # Number of Ops committed (Count)
system.littleCluster.cpus.thread_0.numMemRefs            0                       # Number of Memory References (Count)
system.littleCluster.l2.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.littleCluster.l2.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.littleCluster.l2.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.littleCluster.l2.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.littleCluster.l2.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.littleCluster.l2.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.littleCluster.l2.overallMshrUncacheable::littleCluster.cpus.inst           10                       # number of overall MSHR uncacheable misses (Count)
system.littleCluster.l2.overallMshrUncacheable::littleCluster.cpus.data            2                       # number of overall MSHR uncacheable misses (Count)
system.littleCluster.l2.overallMshrUncacheable::total           12                       # number of overall MSHR uncacheable misses (Count)
system.littleCluster.l2.overallMshrUncacheableLatency::littleCluster.cpus.inst       530000                       # number of overall MSHR uncacheable ticks (Tick)
system.littleCluster.l2.overallMshrUncacheableLatency::littleCluster.cpus.data       107000                       # number of overall MSHR uncacheable ticks (Tick)
system.littleCluster.l2.overallMshrUncacheableLatency::total       637000                       # number of overall MSHR uncacheable ticks (Tick)
system.littleCluster.l2.overallAvgMshrUncacheableLatency::littleCluster.cpus.inst        53000                       # average overall mshr uncacheable latency ((Cycle/Count))
system.littleCluster.l2.overallAvgMshrUncacheableLatency::littleCluster.cpus.data        53500                       # average overall mshr uncacheable latency ((Cycle/Count))
system.littleCluster.l2.overallAvgMshrUncacheableLatency::total 53083.333333                       # average overall mshr uncacheable latency ((Cycle/Count))
system.littleCluster.l2.replacements                0                       # number of replacements (Count)
system.littleCluster.l2.ReadReq.mshrUncacheable::littleCluster.cpus.inst           10                       # number of ReadReq MSHR uncacheable (Count)
system.littleCluster.l2.ReadReq.mshrUncacheable::littleCluster.cpus.data            2                       # number of ReadReq MSHR uncacheable (Count)
system.littleCluster.l2.ReadReq.mshrUncacheable::total           12                       # number of ReadReq MSHR uncacheable (Count)
system.littleCluster.l2.ReadReq.mshrUncacheableLatency::littleCluster.cpus.inst       530000                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.littleCluster.l2.ReadReq.mshrUncacheableLatency::littleCluster.cpus.data       107000                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.littleCluster.l2.ReadReq.mshrUncacheableLatency::total       637000                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.littleCluster.l2.ReadReq.avgMshrUncacheableLatency::littleCluster.cpus.inst        53000                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.littleCluster.l2.ReadReq.avgMshrUncacheableLatency::littleCluster.cpus.data        53500                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.littleCluster.l2.ReadReq.avgMshrUncacheableLatency::total 53083.333333                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.littleCluster.l2.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.littleCluster.l2.tags.tagsInUse              0                       # Average ticks per tags in use ((Tick/Count))
system.littleCluster.l2.tags.totalRefs              0                       # Total number of references to valid blocks. (Count)
system.littleCluster.l2.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.littleCluster.l2.tags.avgRefs              nan                       # Average number of references to valid blocks. ((Count/Count))
system.littleCluster.l2.tags.warmupTick             0                       # The tick when the warmup percentage was hit. (Tick)
system.littleCluster.l2.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.littleCluster.l2.tags.dataAccesses            0                       # Number of data accesses (Count)
system.littleCluster.l2.tags.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.littleCluster.toL2Bus.transDist::ReadReq           12                       # Transaction distribution (Count)
system.littleCluster.toL2Bus.transDist::ReadResp           12                       # Transaction distribution (Count)
system.littleCluster.toL2Bus.pktCount_system.littleCluster.cpus.icache.mem_side_port::system.littleCluster.l2.cpu_side_port           20                       # Packet count per connected requestor and responder (Count)
system.littleCluster.toL2Bus.pktCount_system.littleCluster.cpus.dcache.mem_side_port::system.littleCluster.l2.cpu_side_port            4                       # Packet count per connected requestor and responder (Count)
system.littleCluster.toL2Bus.pktCount::total           24                       # Packet count per connected requestor and responder (Count)
system.littleCluster.toL2Bus.pktSize_system.littleCluster.cpus.icache.mem_side_port::system.littleCluster.l2.cpu_side_port          640                       # Cumulative packet size per connected requestor and responder (Byte)
system.littleCluster.toL2Bus.pktSize_system.littleCluster.cpus.dcache.mem_side_port::system.littleCluster.l2.cpu_side_port           16                       # Cumulative packet size per connected requestor and responder (Byte)
system.littleCluster.toL2Bus.pktSize::total          656                       # Cumulative packet size per connected requestor and responder (Byte)
system.littleCluster.toL2Bus.snoops                 0                       # Total snoops (Count)
system.littleCluster.toL2Bus.snoopTraffic            0                       # Total snoop traffic (Byte)
system.littleCluster.toL2Bus.snoopFanout::samples           12                       # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::mean            0                       # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::stdev            0                       # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::underflows            0      0.00%      0.00% # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::0           12    100.00%    100.00% # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::1            0      0.00%    100.00% # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::2            0      0.00%    100.00% # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::overflows            0      0.00%    100.00% # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::min_value            0                       # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::max_value            0                       # Request fanout histogram (Count)
system.littleCluster.toL2Bus.snoopFanout::total           12                       # Request fanout histogram (Count)
system.littleCluster.toL2Bus.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.littleCluster.toL2Bus.reqLayer0.occupancy        12000                       # Layer occupancy (ticks) (Tick)
system.littleCluster.toL2Bus.reqLayer0.utilization          0.0                       # Layer utilization (Ratio)
system.littleCluster.toL2Bus.respLayer0.occupancy        20000                       # Layer occupancy (ticks) (Tick)
system.littleCluster.toL2Bus.respLayer0.utilization          0.0                       # Layer utilization (Ratio)
system.littleCluster.toL2Bus.respLayer1.occupancy         4000                       # Layer occupancy (ticks) (Tick)
system.littleCluster.toL2Bus.respLayer1.utilization          0.0                       # Layer utilization (Ratio)
system.littleCluster.toL2Bus.snoop_filter.totRequests            0                       # Total number of requests made to the snoop filter. (Count)
system.littleCluster.toL2Bus.snoop_filter.hitSingleRequests            0                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.littleCluster.toL2Bus.snoop_filter.hitMultiRequests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.littleCluster.toL2Bus.snoop_filter.totSnoops            0                       # Total number of snoops made to the snoop filter. (Count)
system.littleCluster.toL2Bus.snoop_filter.hitSingleSnoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.littleCluster.toL2Bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.littleCluster.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.mem_ctrls.bytesRead::bigCluster.cpus.mmu.dtb_walker         2304                       # Number of bytes read from this memory (Byte)
system.mem_ctrls.bytesRead::bigCluster.cpus.mmu.itb_walker          832                       # Number of bytes read from this memory (Byte)
system.mem_ctrls.bytesRead::bigCluster.cpus.inst        97504                       # Number of bytes read from this memory (Byte)
system.mem_ctrls.bytesRead::bigCluster.cpus.data     19337120                       # Number of bytes read from this memory (Byte)
system.mem_ctrls.bytesRead::littleCluster.cpus.data            8                       # Number of bytes read from this memory (Byte)
system.mem_ctrls.bytesRead::total            19437768                       # Number of bytes read from this memory (Byte)
system.mem_ctrls.bytesInstRead::bigCluster.cpus.inst        97504                       # Number of instructions bytes read from this memory (Byte)
system.mem_ctrls.bytesInstRead::total           97504                       # Number of instructions bytes read from this memory (Byte)
system.mem_ctrls.bytesWritten::writebacks     20503104                       # Number of bytes written to this memory (Byte)
system.mem_ctrls.bytesWritten::bigCluster.cpus.data        24692                       # Number of bytes written to this memory (Byte)
system.mem_ctrls.bytesWritten::total         20527796                       # Number of bytes written to this memory (Byte)
system.mem_ctrls.numReads::bigCluster.cpus.mmu.dtb_walker           36                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls.numReads::bigCluster.cpus.mmu.itb_walker           13                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls.numReads::bigCluster.cpus.inst         3376                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls.numReads::bigCluster.cpus.data       302146                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls.numReads::littleCluster.cpus.data            1                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls.numReads::total               305572                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls.numWrites::writebacks         320361                       # Number of write requests responded to by this memory (Count)
system.mem_ctrls.numWrites::bigCluster.cpus.data         3087                       # Number of write requests responded to by this memory (Count)
system.mem_ctrls.numWrites::total              323448                       # Number of write requests responded to by this memory (Count)
system.mem_ctrls.bwRead::bigCluster.cpus.mmu.dtb_walker       181870                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwRead::bigCluster.cpus.mmu.itb_walker        65675                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwRead::bigCluster.cpus.inst      7696637                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwRead::bigCluster.cpus.data   1526407005                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwRead::littleCluster.cpus.data          631                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwRead::total             1534351818                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwInstRead::bigCluster.cpus.inst      7696637                       # Instruction read bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwInstRead::total            7696637                       # Instruction read bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwWrite::writebacks       1618445848                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwWrite::bigCluster.cpus.data      1949103                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwWrite::total            1620394951                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls.bwTotal::writebacks       1618445848                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls.bwTotal::bigCluster.cpus.mmu.dtb_walker       181870                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls.bwTotal::bigCluster.cpus.mmu.itb_walker        65675                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls.bwTotal::bigCluster.cpus.inst      7696637                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls.bwTotal::bigCluster.cpus.data   1528356108                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls.bwTotal::littleCluster.cpus.data          631                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls.bwTotal::total            3154746769                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.membus.transDist::ReadReq                 3904                       # Transaction distribution (Count)
system.membus.transDist::ReadResp                7238                       # Transaction distribution (Count)
system.membus.transDist::WriteReq                3792                       # Transaction distribution (Count)
system.membus.transDist::WriteResp               3792                       # Transaction distribution (Count)
system.membus.transDist::WritebackDirty        320361                       # Transaction distribution (Count)
system.membus.transDist::CleanEvict              2615                       # Transaction distribution (Count)
system.membus.transDist::UpgradeReq               217                       # Transaction distribution (Count)
system.membus.transDist::ReadExReq             299763                       # Transaction distribution (Count)
system.membus.transDist::ReadExResp            299762                       # Transaction distribution (Count)
system.membus.transDist::ReadCleanReq            3334                       # Transaction distribution (Count)
system.membus.transDist::CleanInvalidReq            1                       # Transaction distribution (Count)
system.membus.transDist::InvalidateReq          38216                       # Transaction distribution (Count)
system.membus.pktCount_system.bigCluster.l2.mem_side_port::system.mem_ctrls.port       978725                       # Packet count per connected requestor and responder (Count)
system.membus.pktCount_system.bigCluster.l2.mem_side_port::system.iobridge.cpu_side_port         4214                       # Packet count per connected requestor and responder (Count)
system.membus.pktCount_system.bigCluster.l2.mem_side_port::system.realview.bootmem.port           32                       # Packet count per connected requestor and responder (Count)
system.membus.pktCount_system.bigCluster.l2.mem_side_port::total       982971                       # Packet count per connected requestor and responder (Count)
system.membus.pktCount_system.littleCluster.l2.mem_side_port::system.mem_ctrls.port            2                       # Packet count per connected requestor and responder (Count)
system.membus.pktCount_system.littleCluster.l2.mem_side_port::system.realview.bootmem.port           22                       # Packet count per connected requestor and responder (Count)
system.membus.pktCount_system.littleCluster.l2.mem_side_port::total           24                       # Packet count per connected requestor and responder (Count)
system.membus.pktCount::total                  982995                       # Packet count per connected requestor and responder (Count)
system.membus.pktSize_system.bigCluster.l2.mem_side_port::system.mem_ctrls.port     39965492                       # Cumulative packet size per connected requestor and responder (Byte)
system.membus.pktSize_system.bigCluster.l2.mem_side_port::system.iobridge.cpu_side_port         6325                       # Cumulative packet size per connected requestor and responder (Byte)
system.membus.pktSize_system.bigCluster.l2.mem_side_port::system.realview.bootmem.port          220                       # Cumulative packet size per connected requestor and responder (Byte)
system.membus.pktSize_system.bigCluster.l2.mem_side_port::total     39972037                       # Cumulative packet size per connected requestor and responder (Byte)
system.membus.pktSize_system.littleCluster.l2.mem_side_port::system.mem_ctrls.port            8                       # Cumulative packet size per connected requestor and responder (Byte)
system.membus.pktSize_system.littleCluster.l2.mem_side_port::system.realview.bootmem.port          648                       # Cumulative packet size per connected requestor and responder (Byte)
system.membus.pktSize_system.littleCluster.l2.mem_side_port::total          656                       # Cumulative packet size per connected requestor and responder (Byte)
system.membus.pktSize::total                 39972693                       # Cumulative packet size per connected requestor and responder (Byte)
system.membus.snoops                                0                       # Total snoops (Count)
system.membus.snoopTraffic                          0                       # Total snoop traffic (Byte)
system.membus.snoopFanout::samples             349493                       # Request fanout histogram (Count)
system.membus.snoopFanout::mean                     0                       # Request fanout histogram (Count)
system.membus.snoopFanout::stdev                    0                       # Request fanout histogram (Count)
system.membus.snoopFanout::underflows               0      0.00%      0.00% # Request fanout histogram (Count)
system.membus.snoopFanout::0                   349493    100.00%    100.00% # Request fanout histogram (Count)
system.membus.snoopFanout::1                        0      0.00%    100.00% # Request fanout histogram (Count)
system.membus.snoopFanout::2                        0      0.00%    100.00% # Request fanout histogram (Count)
system.membus.snoopFanout::3                        0      0.00%    100.00% # Request fanout histogram (Count)
system.membus.snoopFanout::overflows                0      0.00%    100.00% # Request fanout histogram (Count)
system.membus.snoopFanout::min_value                0                       # Request fanout histogram (Count)
system.membus.snoopFanout::max_value                0                       # Request fanout histogram (Count)
system.membus.snoopFanout::total               349493                       # Request fanout histogram (Count)
system.membus.badaddr_responder.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.membus.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.membus.reqLayer0.occupancy          2149545266                       # Layer occupancy (ticks) (Tick)
system.membus.reqLayer0.utilization               0.2                       # Layer utilization (Ratio)
system.membus.reqLayer1.occupancy             3286000                       # Layer occupancy (ticks) (Tick)
system.membus.reqLayer1.utilization               0.0                       # Layer utilization (Ratio)
system.membus.reqLayer2.occupancy               33828                       # Layer occupancy (ticks) (Tick)
system.membus.reqLayer2.utilization               0.0                       # Layer utilization (Ratio)
system.membus.respLayer2.occupancy         1527056000                       # Layer occupancy (ticks) (Tick)
system.membus.respLayer2.utilization              0.1                       # Layer utilization (Ratio)
system.membus.respLayer3.occupancy              54000                       # Layer occupancy (ticks) (Tick)
system.membus.respLayer3.utilization              0.0                       # Layer utilization (Ratio)
system.membus.snoop_filter.totRequests         666767                       # Total number of requests made to the snoop filter. (Count)
system.membus.snoop_filter.hitSingleRequests       325191                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.membus.snoop_filter.hitMultiRequests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.membus.snoop_filter.totSnoops                0                       # Total number of snoops made to the snoop filter. (Count)
system.membus.snoop_filter.hitSingleSnoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.membus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.pci_vio_block.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.bootmem.bytesRead::bigCluster.cpus.inst          192                       # Number of bytes read from this memory (Byte)
